product_model,product_name,product_price
 şi are o..,MASINA DE FRECAT ASPIRAT B 40 W+105Ah+R55+Rins+AutoFill,
 1.811-942.,Aparat de curatat cu inalta presiune HDS 1000 BE *EU,
 1.367-154.,Aparat de curatat cu presiune foarte ridicata HD 13/35-4...,
:1.161-308.,Masina de frecat aspirat B 90 R Adv Bp,
:1.353-760.,Curatitor cu apa sub presiune HD 10/16-4 Cage Ex,
 de perii..,Masina de frecat aspirat B 90 R Adv Dose Bp,
 1.161-072.,MASINA DE FRECAT ASPIRAT BD 50/70 R Fleet Classic,
 1.367-156.,Aparat de curatat cu presiune foarte ridicata HD 9/50-4 Cage,
rgonomic...,Masina de maturat - aspirat KM 90/60 R G,
 1.811-943.,Aparat de curatat cu inalta presiune HDS 1000 DE *EU,
:1.161-307.,Masina de frecat aspirat B 90 R Classic Bp Pack,
:1.533-171.,Masina de frecat aspirat BD 50/40 RS Bp Pack,
 1.367-505.,Aparat de curatat cu presiune foarte ridicata HD 13/35 Ge...,
:1.047-300.,Masina de maturat - aspirat KM 90/60 R G Adv,
 1.011-028.,Aspirator cu peri pentru covor CV 60/2 RS Bp Pack,
ilor si a..,Masina de frecat aspirat B 90 R Adv Bp Pack,
 1.251-900.,Aparat de curatat cu inalta presiune stationar HDS 9/16-4...,
- incarcato,MASINA DE FRECAT ASPIRAT BD 50/70 R Bp Pack Fleet Classic,"46 800,00 lei"
:1.533-173.,Masina de frecat aspirat BR 55/40 RS Bp Pack,
riilor si..,Masina de frecat aspirat B 90 R Adv Dose Bp Pack,
 1.251-901.,Aparat de curatat cu inalta presiune stationar HDS...,
 1.251-902.,Aparat de curatat cu inalta presiune stationar 12/14-4 ST...,
:1.280-105.,Masina de maturat - aspirat KM 100/100 R G,
:1.626-704.,Curatitor de piese PC 60/130 T,
 1.367-506.,Aparat de curatat cu presiune foarte ridicata HD 9/50 Ge...,
:1.047-302.,Masina de maturat - aspirat KM 90/60 R Bp Pack Adv,
 inseamna..,MASINA DE MATURAT - ASPIRAT KM 100/100 R LPG,
unctie de..,Masina de aspirat gunoi IC 15/240 W,
a automat..,MASINA DE MATURAT - ASPIRAT KM 100/100 R D,
:1.006-200.,Masina de frecat aspirat B 95 RS,
:1.246-020.,Masina de frecat aspirat B 150 R,
unctie de..,Masina de aspirat gunoi IC 15/240 W Municipal,
:1.280-112.,Masina de maturat - aspirat KM 100/100 R Bp Pack,
 1.310-109.,Masina de curatat scari rulante BR 47/35 Esc,
:1.006-149.,Masina de frecat aspirat B 95 RS Bp Pack,
 1.367-162.,Aparat de curatat cu presiune foarte ridicata 18/50-4...,
:1.006-146.,Masina de frecat aspirat BD 60/95 RS Bp Pack,
cipale de..,MASINA DE MATURAT - ASPIRAT KM 105/100 R Bp+KSSB,
 1.509-500.,Aparate stationare de curatare cu presiune HDC Standard,
carbonica..,Aparat de curatare cu gheata carbonica IB 7/40 Classic,
:1.574-002.,Aparat de curatare cu gheata carbonica IB 7/40 Advanced,
" colturi,..",MASINA DE MATURAT - ASPIRAT KM 105/110 R G,
cipale de..,MASINA DE MATURAT - ASPIRAT KM 105/100 R LPG+KSSB,
rea rolei..,MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp+KSSB,
rea rolei..,MASINA DE MATURAT - ASPIRAT KM 105/110 R Bp,
. Fiecare..,Curatitor cu apa self service SB Wash 5/10 Fp,
rincipale..,MASINA DE MATURAT - ASPIRAT KM 105/100 R G+KSSB,
